[14:54:38][INFO ][PID:  493] PRACOWNIK2: Krzesełko #20 - 4 pasażerów
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #20 -> wyjście 0
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #34 -> wyjście 0
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #35 -> wyjście 0
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #36 -> wyjście 0
[14:54:38][INFO ][PID:  493] PRACOWNIK2: Krzesełko #21 - 4 pasażerów
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #32 -> wyjście 0
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #9 -> wyjście 0
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #10 -> wyjście 0
[14:54:38][DEBUG][PID:  493] PRACOWNIK2: Turysta #11 -> wyjście 0
[14:54:40][INFO ][PID:  493] PRACOWNIK2: Krzesełko #22 - 2 pasażerów
[14:54:40][DEBUG][PID:  493] PRACOWNIK2: Turysta #37 -> wyjście 1
[14:54:40][DEBUG][PID:  493] PRACOWNIK2: Turysta #38 -> wyjście 1
[14:54:42][INFO ][PID:  493] PRACOWNIK2: Krzesełko #23 - 3 pasażerów
[14:54:42][DEBUG][PID:  493] PRACOWNIK2: Turysta #32 -> wyjście 0
[14:54:42][DEBUG][PID:  493] PRACOWNIK2: Turysta #39 -> wyjście 0
[14:54:42][DEBUG][PID:  493] PRACOWNIK2: Turysta #40 -> wyjście 0
[14:54:43][INFO ][PID:  493] PRACOWNIK2: Krzesełko #24 - 2 pasażerów
[14:54:43][DEBUG][PID:  493] PRACOWNIK2: Turysta #33 -> wyjście 1
[14:54:43][DEBUG][PID:  493] PRACOWNIK2: Turysta #28 -> wyjście 0
[14:54:44][INFO ][PID:  493] PRACOWNIK2: Krzesełko #25 - 3 pasażerów
[14:54:44][DEBUG][PID:  493] PRACOWNIK2: Turysta #41 -> wyjście 0
[14:54:44][DEBUG][PID:  493] PRACOWNIK2: Turysta #42 -> wyjście 1
[14:54:44][DEBUG][PID:  493] PRACOWNIK2: Turysta #32 -> wyjście 1
[14:54:45][INFO ][PID:  493] PRACOWNIK2: Krzesełko #26 - 3 pasażerów
[14:54:45][DEBUG][PID:  493] PRACOWNIK2: Turysta #43 -> wyjście 1
[14:54:45][DEBUG][PID:  493] PRACOWNIK2: Turysta #44 -> wyjście 1
[14:54:45][DEBUG][PID:  493] PRACOWNIK2: Turysta #34 -> wyjście 0
[14:54:47][INFO ][PID:  493] PRACOWNIK2: Krzesełko #27 - 4 pasażerów
[14:54:47][DEBUG][PID:  493] PRACOWNIK2: Turysta #45 -> wyjście 0
[14:54:47][DEBUG][PID:  493] PRACOWNIK2: Turysta #32 -> wyjście 1
[14:54:47][DEBUG][PID:  493] PRACOWNIK2: Turysta #46 -> wyjście 0
[14:54:47][DEBUG][PID:  493] PRACOWNIK2: Turysta #47 -> wyjście 1
[14:54:49][INFO ][PID:  493] PRACOWNIK2: Krzesełko #28 - 3 pasażerów
